gene	tvar	CAP_PKB	CAP_PKB_male	CAP_PKB_female	CAP_PKB_afr	CAP_PKB_afr_male	CAP_PKB_afr_female	CAP_PKB_amr	CAP_PKB_amr_male	CAP_PKB_amr_female	CAP_PKB_fin	CAP_PKB_fin_male	CAP_PKB_fin_female	CAP_PKB_asj	CAP_PKB_asj_male	CAP_PKB_asj_female	CAP_PKB_nfe	CAP_PKB_nfe_male	CAP_PKB_nfe_female	CAP_PKB_eas	CAP_PKB_eas_male	CAP_PKB_eas_female	CAP_PKB_sas	CAP_PKB_sas_male	CAP_PKB_sas_female	nvar	nvar_male	nvar_female	nvar_afr	nvar_afr_male	nvar_afr_female	nvar_amr	nvar_amr_male	nvar_amr_female	nvar_fin	nvar_fin_male	nvar_fin_female	nvar_asj	nvar_asj_male	nvar_asj_female	nvar_nfe	nvar_nfe_male	nvar_nfe_female	nvar_eas	nvar_eas_male	nvar_eas_female	nvar_sas	nvar_sas_male	nvar_sas_female
BDKRB2	462	0.956380445498403	0.954266625390654	0.958842747388773	0.871087842257549	0.833140982319302	0.891672980817949	0.967947427305737	0.966139141064188	0.969137205138801	0.953009414198116	0.956484885514293	0.949623793240555	0.944652236737735	0.941930996915601	0.947718391678379	0.961507978185473	0.96309028577457	0.959520144752214	0.98144010035871	0.980188521266107	0.98262160145702	0.93185319125134	0.93173667054676	0.932273713038398	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
BDNF	481	0.351776954871	0.357604161984	0.344891065456	0.06557927096064	0.05860445877084	0.06985201441276	0.281092722544	0.278414310556	0.282982260639	0.281272462716	0.281445399024	0.281084243679	0.385745342464	0.3897421839	0.381507407751	0.344183469375	0.346245280399	0.341563503519	0.741501985671	0.748674247024	0.7344349911	0.349673880816	0.352348466176	0.341458011964	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BRAF	942	7.95986416013417e-06	1.47283457686553e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.53327328736797e-05	8.66983207687966e-05	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
C5	2178	0.00065203367835498	0.000485535049616681	0.000847834218064003	0	0	0	0.000173463076987845	0.000139659923436009	0.000197345662711568	0.000277142795306329	0.000354766529594874	0.000192780308042595	0	0	0	7.03185637814796e-05	6.28822114258076e-05	7.9749609936397e-05	0.0078141747324374	0.00616738141482831	0.00941372057035983	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0
CASP7	655	0.837650000394691	0.834892760252013	0.840842827110539	0.597019268829025	0.581060926151627	0.60657048189821	0.85484074495034	0.854190778291855	0.855297878307961	0.857680262793009	0.857876326640396	0.857466225517282	0.725482842615657	0.730561248721841	0.720021825972728	0.833212482581504	0.828537746669084	0.83898928001379	0.962724174404217	0.963269921303669	0.962187353701148	0.803626150178242	0.803323047692042	0.804550056910739	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
CCND1	835	0.910335759151329	0.917595821547152	0.901181428813789	0.619703366770821	0.624114197241151	0.616974429667848	0.847941692160327	0.849434208696146	0.846880165372439	0.930361118095429	0.93274876381235	0.927693730654316	0.907154126803823	0.905622887332332	0.908753019068979	0.918916656348569	0.919880550390592	0.917680072710386	0.96541624697094	0.964775403916543	0.966031534694012	0.947909425362944	0.948391859962468	0.946411077636297	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
CDA	211	0.967781789984446	0.968313432350094	0.967155404395484	0.91837155527315	0.914185435345738	0.920854435859216	0.970003008800712	0.972250410660734	0.968318092237472	0.944493248600893	0.944325808934634	0.944674884158844	0.988978835660122	0.988647444616267	0.989323493811171	0.983269372636807	0.983419365051003	0.983078917296273	0.843561207434989	0.842345107491651	0.844741721320824	0.93695694229413	0.938611937786676	0.93167412865473	3	7	7	7	7	7	7	5	7	5	5	5	5	5	5	7	7	5	7	7	7	7	7	5
CMPK1	214	0.7215010471	0.713877710784	0.730838259136	0.952297508719	0.956644848039	0.94946496	0.795789101391	0.791805823911	0.798514825359	0.573263130999	0.579526863279	0.566959668636	0.582690459975	0.578927492199	0.587096084224	0.705670964559	0.703154822775	0.709129623024	0.808140231676	0.810637515036	0.805688307136	0.707086323775	0.708051055671	0.703972600944	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COMT	1355	0.989251990992074	0.990014235384554	0.988284342587907	0.930935489414203	0.926903066073944	0.93333413418608	0.972472073433034	0.973441825343954	0.97176835375394	0.996171331249856	0.995987183360247	0.996366454473772	0.992861322414732	0.992698065556943	0.993037074810108	0.995503399128741	0.995353943520723	0.995689436763776	0.931605524466948	0.928481622989095	0.934536498694384	0.985775224878888	0.986536932187942	0.983206611982234	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
DCK	386	0.0038072692602974	0.00288731284190991	0.00489018685535192	0.05281966882239	0.0583112247577501	0.04944305378199	0.0020839331728999	0.00139830884103886	0.00256828885209925	0	0	0	0	0	0	8.81566570154479e-05	9.44889678533567e-05	8.01041957652071e-05	0	0	0	0.000196325363141958	8.68413145647118e-05	0.000531137454515163	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1
