gene	tvar	CAP_PKB	CAP_PKB_male	CAP_PKB_female	CAP_PKB_afr	CAP_PKB_afr_male	CAP_PKB_afr_female	CAP_PKB_amr	CAP_PKB_amr_male	CAP_PKB_amr_female	CAP_PKB_fin	CAP_PKB_fin_male	CAP_PKB_fin_female	CAP_PKB_asj	CAP_PKB_asj_male	CAP_PKB_asj_female	CAP_PKB_nfe	CAP_PKB_nfe_male	CAP_PKB_nfe_female	CAP_PKB_eas	CAP_PKB_eas_male	CAP_PKB_eas_female	CAP_PKB_sas	CAP_PKB_sas_male	CAP_PKB_sas_female	nvar	nvar_male	nvar_female	nvar_afr	nvar_afr_male	nvar_afr_female	nvar_amr	nvar_amr_male	nvar_amr_female	nvar_fin	nvar_fin_male	nvar_fin_female	nvar_asj	nvar_asj_male	nvar_asj_female	nvar_nfe	nvar_nfe_male	nvar_nfe_female	nvar_eas	nvar_eas_male	nvar_eas_female	nvar_sas	nvar_sas_male	nvar_sas_female
IKBKE	925	0.358932355111	0.355165303744	0.363352398396	0.0703565419279599	0.07489324646991	0.0675646899963901	0.466236790719	0.458925005916	0.471367760959	0.451493865456	0.454941165039	0.447732536391	0.268663746876	0.285408737775	0.250755683079	0.395496859996	0.400928643991	0.388558889191	0.385267165599	0.387651494271	0.3829426191	0.16184894706519	0.16438316300736	0.1540783324	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IMPDH1	926	0.469312518711	0.466981733439	0.472046627184	0.362460031479	0.368984246775	0.358440651324	0.470432334204	0.469614067824	0.471008526876	0.544129266876	0.5385379239	0.550160168599	0.525927816159	0.524486319375	0.527449619071	0.451415357775	0.450226687911	0.452922315391	0.600847713775	0.604430702751	0.597347566599	0.431284926576	0.427116014119	0.443944932519	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IMPDH2	1689	0.50188495916455	0.504302315260812	0.49902837532912	0.153040933740404	0.136031126947606	0.163341004627331	0.325809788126443	0.323992269817276	0.327092063123032	0.630613501640552	0.62929278253174	0.632050195251689	0.642270378603691	0.63569330922031	0.649108252754679	0.597284679148988	0.594140829978152	0.601241771715917	0.265870101075879	0.243004510759713	0.287507274063897	0.374326510580587	0.370980256585126	0.384464051018233	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
ITGA2	1696	0.980072826508127	0.979799217196182	0.980390063409902	0.942961306493043	0.943653064458296	0.942533153888698	0.992453352227022	0.992150970560624	0.992660240156894	0.982396605274531	0.981635185106145	0.983193104139623	0.977665920066785	0.978337551874574	0.9769368604536	0.982733166139083	0.982801901153358	0.982645644850596	0.942337904405651	0.946253857018613	0.938297021216195	0.972685242080461	0.972849143334936	0.972178409443549	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
ITGB3	1273	0.403180716585879	0.407827873794511	0.39767529778426	0.360504139079508	0.373479463770404	0.352434011024771	0.273204914650922	0.283259058833833	0.266037193743396	0.465724944013756	0.461628749537487	0.470153038194492	0.495919089661691	0.487341169560741	0.504854206739592	0.487748185356762	0.488111387476184	0.487285428289871	0.0110457100501338	0.0122967262361406	0.00982844651705417	0.33512907379926	0.328005673934779	0.356570525004496	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ITPA	758	0.816529021887015	0.82205392548502	0.809850116797392	0.703131430029935	0.709155877837287	0.699385885066159	0.630214111012841	0.63448169628404	0.627175375519863	0.729682117379916	0.719474964459015	0.740386735851963	0.786300594865297	0.793185728498509	0.778800483550773	0.876689280263302	0.874163580672476	0.879825029541778	0.846963366637852	0.848131527603302	0.845818020456109	0.794193235869219	0.799352078794665	0.777635264628748	2	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	5	10	10	10	10
KDR	1781	0.718547483736706	0.719621088218785	0.717287790379795	0.842125209990231	0.845273165524709	0.84016624580997	0.475113725527123	0.489211426271557	0.464984298605872	0.767849939643836	0.766007806053471	0.76987529625603	0.690077450341432	0.702758771466911	0.676183977706424	0.725919368980276	0.730207004403085	0.720392040139736	0.894264387947852	0.895882577690012	0.892670774358049	0.657056585286665	0.64589356262381	0.689349052579124	3	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4	4	4	6	6	6
LPL	778	0.32072702491213	0.3255664420349	0.315003650519371	0.256927671888554	0.260740485585371	0.254577659364998	0.203458864070782	0.201314420498323	0.204971413264999	0.308833119841293	0.309611743749742	0.307986464955813	0.357630251189757	0.354645889924093	0.360775840991164	0.348004810233059	0.348100581074063	0.347885807519348	0.38017623856104	0.38383135492282	0.376608723367795	0.332627443484755	0.3283185331634	0.345676952410993	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LTA	485	0.822978036088641	0.828115591632073	0.816625990549194	0.829054677840638	0.812189485491974	0.83978452809779	0.575804345327687	0.599578277718282	0.557489122880901	0.832595906283113	0.841248248296235	0.823462611154088	0.670100002348289	0.681296109816394	0.657215781997532	0.917692577906357	0.919488067673862	0.915423125991029	0.731393875206317	0.742780976103358	0.719120203302444	0.66933929132323	0.673606604147767	0.656165263139075	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
NCOA1	1361	0.03349158194544	0.03516764982256	0.03151865088975	0.00712396687827754	0.00677799560454251	0.00733651430149995	0.02710795666159	0.0298067167407899	0.0251994150639899	0.0116079966575164	0.0113213341688317	0.0119195279395831	0.02562727254976	0.02493914016711	0.02635463181591	0.0518037317363099	0.05232929113756	0.051136982784	0.000108740043739952	0	0.00021444250237046	0.02383525188975	0.0258432387615599	0.0176835837536871	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
NR1I2	753	0.808116963866531	0.804795764960179	0.811971973967885	0.941392998531291	0.939899652309689	0.942314775730892	0.763850878620025	0.762525068823792	0.764781871611136	0.832937133956334	0.834406657096629	0.831327457023827	0.704747787189036	0.705952192342713	0.703470381337627	0.707632368943488	0.70921212737554	0.705618683423085	0.976528726203675	0.976237196260709	0.976809453794377	0.858016127709357	0.856099404044838	0.863749396601907	2	4	4	4	4	4	4	4	4	3	3	3	4	4	4	4	4	4	3	3	3	4	4	4
NR1I3	1085	0.583485946359	0.586741306096	0.579638387391	0.257221472284	0.251259371196	0.260871204924	0.622625681136	0.623921984496	0.621708577084	0.530739379324	0.528806990775	0.532835951964	0.547712814471	0.552631651264	0.542484392799	0.574110629596	0.5728331836	0.575727544956	0.775775021424	0.772942031964	0.778511168124	0.634160106591	0.629164064631	0.649229276919	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NR3C1	700	0.258332642831491	0.250220105853416	0.267795760217715	0.464219341268087	0.476851740571421	0.456345906763143	0.136200507586213	0.142497019310614	0.131738133463789	0.387982311787007	0.392345560623507	0.383217267420699	0.13606785907975	0.13508567794071	0.13710466105344	0.292190644014524	0.290869030735072	0.29386936018103	0.25369167617456	0.246098014847805	0.261018398626966	0.0824696675411969	0.0806898290418526	0.0878967863802388	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2
OPRM1	1444	0.927098150147285	0.932920684038092	0.919642037617546	0.834890348747267	0.824789680347543	0.841305040916891	0.948352105190224	0.949172558574634	0.947764749036018	0.932147136046616	0.937257917678914	0.926133853247873	0.924509389352396	0.925490395364861	0.923467935355301	0.803866513930817	0.806427308552048	0.800564016837233	0.996267544176316	0.99605867308873	0.996460272670608	0.995646365412751	0.994787263102646	0.997534652896857	3	10	10	10	10	10	10	10	10	7	7	7	10	10	10	10	10	10	10	6	10	10	10	10
P2RY12	1454	0.502556141791	0.504854160444	0.499846943775	0.331008509439	0.333417561975	0.329528894671	0.540309219975	0.540063749404	0.540481417116	0.601846571964	0.606257554879	0.597027690399	0.355224725559	0.346888728591	0.363982584951	0.520248445119	0.517323826999	0.523944158976	0.404766147804	0.408126735111	0.401487339504	0.501345115975	0.505876762279	0.4873583199	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
POLG	2312	0.1689691893559	0.171498988353074	0.165983697571687	0.0347559550869101	0.0360649121864481	0.0339510523705279	0.0871008317342469	0.0883336118406238	0.0862288602640477	0.320044466560064	0.326398430117441	0.313094756180475	0.202363794634868	0.19812272802428	0.206846380626236	0.226732521571334	0.225926825104199	0.227753306499184	0.000434860180141494	0.000661653851197541	0.000214396507302372	0.0718626331739873	0.0757659199792748	0.0598488996686446	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2
PPARG	587	0.529697334809079	0.533730924357652	0.524918009011445	0.190141924699352	0.193286409440485	0.18821181874963	0.524844860030075	0.515012410060252	0.531688333202313	0.687831014326848	0.690810856170003	0.684568988635818	0.319822803379097	0.317483203354722	0.322292938827802	0.549408864685623	0.543331688779058	0.557019204135968	0.507488216556914	0.509805321882386	0.505237652329737	0.556775106811064	0.560680438384534	0.544703767192117	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
PRCP	1566	0.2867184064	0.294631820956	0.277350392256	0.227807224975	0.220086701871	0.2325363975	0.18434157232839	0.191980587799	0.17892552348144	0.279474049756	0.278903517724	0.280093568271	0.355815582679	0.353024294896	0.358754594716	0.320775129199	0.3252691836	0.315050101311	0.2065466224	0.203131344375	0.209855012199	0.320320121671	0.313678881975	0.340467602544	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PTGS2	614	0.0301156318919316	0.0316975815365289	0.0282527178761862	0.170240370116301	0.157247380116142	0.178146702442508	0.0103664954704609	0.00779721702119718	0.0121788201368628	0	0	0	0	0	0	0.000632873746084117	0.000628823663384459	0.000638011296258845	0.00043485307055946	0.000882124046192589	0	0.128291758516269	0.127283440358634	0.131370496700907	1	2	2	2	2	2	2	2	2	0	0	0	0	0	0	2	2	2	2	2	0	2	2	2
RRM1	978	0.709613734375	0.712920503196	0.705685069936	0.264969839079	0.251794029879	0.273027198871	0.711793151199	0.7208145756	0.705304106119	0.716107110144	0.712313659504	0.720212955399	0.753945310479	0.757078177359	0.750625608124	0.787416299376	0.787479	0.787337910591	0.608265463231	0.604309936479	0.612106458279	0.5987410975	0.597230801119	0.603350700399	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RRM2	528	0.0258504407482659	0.0196439325519574	0.0331132104100821	0.312420096249248	0.325995608688887	0.303977773743706	0.01531635412842	0.0158467896176878	0.014941267227241	0	0	0	0	0	0	0.00091445424765435	0.00106922301820989	0.0007181105379237	0	0	0	0.00104574965252646	0.00104089745280678	0.00106058592290537	1	2	2	2	2	2	2	2	2	0	0	0	0	0	0	2	2	2	0	0	0	2	2	2
RYR1	7805	0.00405515564428038	0.00422212202684646	0.00385714827877159	0.00098528265621578	0	0.00159128821088317	0.00202287262218304	0.00153532379064547	0.00236747395999481	0.00166170425960677	0.00318832690966742	0	0.00178739154697927	0.00270184463208056	0.000816159402965422	0.00637198430413766	0.00624720677282853	0.0065270363506057	0.00228132461818364	0.00198365048785221	0.00257103427635685	0.00234943298824219	0.00207883694607858	0.00317709042989311	16	50	45	8	0	8	5	3	3	12	12	0	3	3	1	44	38	28	16	7	10	12	8	11
SCARB1	881	0.1942424304	0.190656866775	0.19861696	0.14991858159804	0.13484013848391	0.15834843339351	0.225728474671	0.239234016039	0.2159074599	0.13731272694784	0.13737179822716	0.137258112079	0.316836587631	0.313078956751	0.321363445564	0.228109483671	0.224450293591	0.232648527804	0.00069820208589777	0	0.00142197014050727	0.133676514775	0.13542863077711	0.12771442217871	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
SERPINA5	1187	0.597058829135549	0.564283238318906	0.632982475190285	0.990584605682072	0.989615849909288	0.991142781866601	0.489335281134283	0.491312977742451	0.487931976723903	0.507148459565295	0.503588886137355	0.510993310469518	0.1693167966295	0.172729216848945	0.16570503559986	0.469282536379918	0.463316231685934	0.476781834641026	0.859599431740396	0.860002280049748	0.859206674404065	0.4523307447732	0.446998104096956	0.468375970714198	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
SERPINC1	471	0.641834856039	0.634674045916	0.650167970844	0.950218358076	0.948926711964	0.951003734799	0.559376197975	0.566289506511	0.554458434879	0.486366910876	0.486803993871	0.485890923804	0.782980982391	0.777229215804	0.788978284359	0.5654026224	0.5706081216	0.558752009775	0.891614850039	0.895194354831	0.888076966599	0.615668196975	0.618101955559	0.608172826479	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SERPINE1	547	0.18133478847856	0.188353964604	0.173040746871	0.0354860718491099	0.0298417818507901	0.0389458366443101	0.13459233152559	0.13736603979519	0.13262983280559	0.131946290364	0.13459047097879	0.12906926177311	0.227367789975	0.224198406384	0.230707869351	0.213349853511	0.213623005159	0.213003911616	0.17038725377136	0.1674897436	0.17319915206119	0.210844937664	0.213255835804	0.203449104991	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SOD2	1234	0.994970312627582	0.994945542315107	0.994999477847736	0.988084896786216	0.989139474240355	0.987389846732894	0.999589528847891	0.999550697181065	0.999615213166399	0.993986285020462	0.993514748911066	0.99446835099308	0.996838424911074	0.99704060473134	0.996609711802745	0.995885289297818	0.995829097201215	0.995955918027756	0.692317731214786	0.70058160773424	0.684094388201609	0.997142378479581	0.996956233036519	0.997652343950508	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
TGFB1	1714	0.10975566803824	0.114925465344	0.10360498061404	0.12550214571319	0.12125405518975	0.12818787680256	0.06700357637724	0.07004778579591	0.0647698126710001	0.0682827849750001	0.0676542980197501	0.0689361480277501	0.0785484100247099	0.0847628035919099	0.0715307352447899	0.14102785794375	0.14035912890876	0.14182898882496	0.00163628809212657	0.00178300851082236	0.00148367926532678	0.15053694576576	0.15182420554684	0.14660390652864	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TLR3	799	0.480406994416	0.481910993344	0.478633688751	0.12522083120631	0.11433022533991	0.13192691102064	0.508255449975	0.509568705136	0.507325159536	0.544365549951	0.543320040039	0.545501552775	0.446252683836	0.448736814159	0.443615288256	0.506743808316	0.505862703399	0.507862674375	0.565008307479	0.566479153071	0.563578573116	0.4200111351	0.420592828656	0.418229217879	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TLR4	665	0.312471724009052	0.322694523807239	0.300286469547188	0.366163211726072	0.353765383618335	0.373682802716472	0.161967421822752	0.157574796527244	0.165057321628379	0.484428639675894	0.486098385822215	0.482608874095735	0.335334837363145	0.366229271862738	0.301305320180335	0.286700620699103	0.281220943597959	0.293601379714715	0.00195662892467308	0.00132377525005256	0.00257124096356398	0.516129892365617	0.502398556247895	0.5561793336506	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
TNF	862	0.822978036088641	0.828115591632073	0.816625990549194	0.829054677840638	0.812189485491974	0.83978452809779	0.575804345327687	0.599578277718282	0.557489122880901	0.832595906283113	0.841248248296235	0.823462611154088	0.670100002348289	0.681296109816394	0.657215781997532	0.917692577906357	0.919488067673862	0.915423125991029	0.731393875206317	0.742780976103358	0.719120203302444	0.66933929132323	0.673606604147767	0.656165263139075	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
TOMM40	1090	0.907933710536979	0.903809084398097	0.912625946413478	0.982656388290895	0.980468332015966	0.983939645759753	0.823120956385762	0.828587456456038	0.819015006976162	0.976355938067079	0.975047199907021	0.977532304850869	0.858339306869434	0.865049192474806	0.850420009384034	0.925944345686149	0.926333763696168	0.925454859103126	0.768552141359598	0.766669467018083	0.770469290508067	0.815896734926128	0.821155515020208	0.798543287851228	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
TYMS	647	0.614804749119	0.615213022656	0.6143217391	0.801133948864	0.807205240944	0.7973469711	0.544445197296	0.5384292279	0.548721036471	0.524111116591	0.520435439964	0.528091454064	0.618365169244	0.623834897671	0.612509934831	0.532789473216	0.539402959071	0.524293218775	0.905201284764	0.906741223311	0.9036952911	0.692193631191	0.688244160799	0.704047679775	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UMPS	1714	0.893422918083575	0.888839607032037	0.898678395263254	0.787006485157943	0.789842484248073	0.785289763367679	0.973953549473041	0.97312605275718	0.97452543071515	0.87931138055025	0.880709836177325	0.877802676596922	0.849651746541296	0.85197743830951	0.847204049286041	0.863847940807801	0.862909035716382	0.865018501968428	0.930339784778639	0.930217609104955	0.930459412324052	0.883988734057657	0.883575559014435	0.88525637301061	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
VDR	693	0.547258074679	0.559790308711	0.532286261184	0.475498149375	0.478317379824	0.473762921916	0.379928797084	0.395821810479	0.3685790556	0.550909699836	0.552721273479	0.548931948544	0.589595765616	0.591903897024	0.587147488704	0.642055058775	0.639913594816	0.644763735711	0.105097243951	0.10489251935856	0.10529608063359	0.580061007271	0.579402353775	0.582071367324	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
VEGFA	650	0.868944901721623	0.869497626551037	0.868268831772553	0.555987808509033	0.559265244339325	0.553413725241124	0.893698722593173	0.896530866209134	0.891721045764188	0.886395858539337	0.888662593631967	0.883852939862669	0.89523676764128	0.891041306183602	0.899602112569926	0.889111882690194	0.887251768765603	0.891659983350211	0.813234647234738	0.807186193279053	0.819009964084458	0.850064874196298	0.847954920556786	0.856539491427699	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
